CensusTract,State,County,Pop2010,LILATracts_1And10,LALOWI1_10,TractLOWI
01001020100,Alabama,Autauga County,1912,0,461,455
01001020200,Alabama,Autauga County,2170,1,604,802
01001020300,Alabama,Autauga County,3373,0,478,1306
01001020400,Alabama,Autauga County,4386,0,343,922
01001020500,Alabama,Autauga County,10766,0,586,2242
01001020600,Alabama,Autauga County,3668,1,1585,1659
01001020700,Alabama,Autauga County,2891,1,742,2175
01001020801,Alabama,Autauga County,3081,0,0,527
01001020802,Alabama,Autauga County,10435,0,26,3103
01001020900,Alabama,Autauga County,5675,0,25,1612
01001021000,Alabama,Autauga County,2894,1,902,977
01001021100,Alabama,Autauga County,3320,1,1354,1463
01003010100,Alabama,Baldwin County,3804,1,611,1496
01003010200,Alabama,Baldwin County,2902,0,15,1715
01003010300,Alabama,Baldwin County,7826,0,NULL,2492
01003010400,Alabama,Baldwin County,4736,0,73,1347
01003010500,Alabama,Baldwin County,4815,0,545,1516
01003010600,Alabama,Baldwin County,3325,1,884,2174
01003010701,Alabama,Baldwin County,7882,0,520,1199
01003010703,Alabama,Baldwin County,13166,0,NULL,1257
01003010704,Alabama,Baldwin County,5055,0,1606,2045
01003010705,Alabama,Baldwin County,8331,0,935,2680
01003010800,Alabama,Baldwin County,6861,0,807,2258
01003010903,Alabama,Baldwin County,5173,0,NULL,1406
01003010904,Alabama,Baldwin County,6831,0,141,1843
01003010905,Alabama,Baldwin County,8011,0,NULL,2694
01003010906,Alabama,Baldwin County,4302,1,1218,1925
01003011000,Alabama,Baldwin County,4305,0,NULL,2047
01003011101,Alabama,Baldwin County,8397,0,461,1576
01003011102,Alabama,Baldwin County,3715,0,NULL,1062
01003011201,Alabama,Baldwin County,4230,0,111,1338
01003011202,Alabama,Baldwin County,5065,0,803,1996
01003011300,Alabama,Baldwin County,4487,0,0,1003
01003011401,Alabama,Baldwin County,10632,0,0,3769
01003011403,Alabama,Baldwin County,9131,0,NULL,3084
01003011405,Alabama,Baldwin County,3832,0,674,853
01003011406,Alabama,Baldwin County,3412,0,NULL,561
01003011407,Alabama,Baldwin County,4799,0,1137,1515
01003011408,Alabama,Baldwin County,433,0,NULL,87
01003011501,Alabama,Baldwin County,5316,0,1645,1727
01003011502,Alabama,Baldwin County,10534,1,2276,5468
01003011601,Alabama,Baldwin County,6062,0,6,2034
01003011602,Alabama,Baldwin County,4895,0,NULL,1676
01005950100,Alabama,Barbour County,3321,1,341,1539
01005950200,Alabama,Barbour County,4264,0,31,1262
01005950300,Alabama,Barbour County,1638,1,443,889
01005950400,Alabama,Barbour County,4303,1,1541,1395
01005950500,Alabama,Barbour County,3467,0,74,1663
01005950600,Alabama,Barbour County,2099,0,NULL,1104
01005950700,Alabama,Barbour County,1727,0,10,811
01005950800,Alabama,Barbour County,2055,1,199,906
01005950900,Alabama,Barbour County,4583,0,225,2504
01007010001,Alabama,Bibb County,2732,0,6,871
01007010002,Alabama,Bibb County,6025,0,0,2192
01007010003,Alabama,Bibb County,5391,0,61,1079
01007010004,Alabama,Bibb County,8767,0,35,3826
01009050101,Alabama,Blount County,7858,0,NULL,2863
01009050102,Alabama,Blount County,7050,0,1440,2634
01009050200,Alabama,Blount County,3789,0,NULL,1438
01009050300,Alabama,Blount County,5269,0,NULL,2153
01009050400,Alabama,Blount County,4451,0,NULL,1523
01009050500,Alabama,Blount County,7329,0,NULL,3085
01009050601,Alabama,Blount County,3922,0,NULL,1251
01009050602,Alabama,Blount County,8923,0,NULL,1908
01009050700,Alabama,Blount County,8731,0,NULL,3940
01011952100,Alabama,Bullock County,1434,1,876,1172
01011952200,Alabama,Bullock County,7102,1,2264,2717
01011952500,Alabama,Bullock County,2378,0,389,878
01013952700,Alabama,Butler County,2439,0,0,782
01013952800,Alabama,Butler County,1394,0,NULL,401
01013952900,Alabama,Butler County,2180,0,NULL,1078
01013953000,Alabama,Butler County,1469,1,253,792
01013953100,Alabama,Butler County,3023,1,892,2006
01013953200,Alabama,Butler County,4327,1,200,1663
01013953300,Alabama,Butler County,1774,0,24,498
01013953400,Alabama,Butler County,2931,0,4,1463
01013953500,Alabama,Butler County,1410,0,75,790
01015000200,Alabama,Calhoun County,3104,0,82,1424
01015000300,Alabama,Calhoun County,2951,0,43,1705
01015000400,Alabama,Calhoun County,2812,1,1443,1748
01015000500,Alabama,Calhoun County,1814,1,492,847
01015000600,Alabama,Calhoun County,2191,1,863,1087
01015000700,Alabama,Calhoun County,2715,1,235,1302
01015000800,Alabama,Calhoun County,1379,1,358,508
01015000900,Alabama,Calhoun County,3362,1,1211,1511
01015001000,Alabama,Calhoun County,5792,0,458,1852
01015001100,Alabama,Calhoun County,6565,0,928,2304
01015001201,Alabama,Calhoun County,3482,1,501,1721
01015001202,Alabama,Calhoun County,4318,0,1552,1746
01015001300,Alabama,Calhoun County,2211,1,319,1020
01015001400,Alabama,Calhoun County,3731,0,NULL,1336
01015001500,Alabama,Calhoun County,5198,1,1232,2457
01015001600,Alabama,Calhoun County,3791,1,1110,1903
01015001700,Alabama,Calhoun County,6329,0,1182,2692
01015001800,Alabama,Calhoun County,6919,0,2425,2417
01015002000,Alabama,Calhoun County,7335,0,NULL,1664
01015002101,Alabama,Calhoun County,3992,1,1892,1275
01015002102,Alabama,Calhoun County,3411,0,599,1106
01015002103,Alabama,Calhoun County,6801,1,670,3352
01015002200,Alabama,Calhoun County,3652,0,662,1365
01015002300,Alabama,Calhoun County,3843,0,NULL,2052
01015002400,Alabama,Calhoun County,4518,0,NULL,1625
01015002501,Alabama,Calhoun County,7069,0,NULL,1719
01015002502,Alabama,Calhoun County,4661,0,NULL,1389
01015002600,Alabama,Calhoun County,4615,0,NULL,1314
01015981901,Alabama,Calhoun County,6,0,NULL,0
01015981902,Alabama,Calhoun County,5,0,NULL,0
01017953800,Alabama,Chambers County,3619,0,210,1844
01017953900,Alabama,Chambers County,2900,0,NULL,1305
01017954000,Alabama,Chambers County,6669,0,82,2517
01017954200,Alabama,Chambers County,3257,0,NULL,1464
01017954300,Alabama,Chambers County,4708,0,NULL,2020
01017954400,Alabama,Chambers County,995,1,279,458
01017954500,Alabama,Chambers County,3804,1,387,2215
01017954600,Alabama,Chambers County,3411,1,648,1429
01017954700,Alabama,Chambers County,4852,0,1166,1734
01019955701,Alabama,Cherokee County,3332,0,0,1679
01019955702,Alabama,Cherokee County,3872,0,10,2063
01019955800,Alabama,Cherokee County,5561,0,NULL,2166
01019955900,Alabama,Cherokee County,4235,0,NULL,1686
01019956000,Alabama,Cherokee County,4017,0,1267,1434
01019956100,Alabama,Cherokee County,4972,0,24,1765
01021060101,Alabama,Chilton County,5219,0,NULL,1763
01021060102,Alabama,Chilton County,6303,1,1711,2996
01021060200,Alabama,Chilton County,2807,0,NULL,806
01021060300,Alabama,Chilton County,3808,0,180,1387
01021060401,Alabama,Chilton County,5466,0,NULL,2018
01021060402,Alabama,Chilton County,8776,0,NULL,4535
01021060500,Alabama,Chilton County,2902,0,0,1387
01021060600,Alabama,Chilton County,3261,0,8,1494
01021060700,Alabama,Chilton County,5101,0,8,1667
01023956700,Alabama,Choctaw County,3184,1,1318,1944
01023956800,Alabama,Choctaw County,4423,0,125,1635
01023956900,Alabama,Choctaw County,3879,0,64,1244
01023957000,Alabama,Choctaw County,2373,1,301,1209
01025957500,Alabama,Clarke County,1760,0,53,757
01025957601,Alabama,Clarke County,998,1,158,437
01025957602,Alabama,Clarke County,5515,0,1201,1973
01025957700,Alabama,Clarke County,1329,1,568,576
01025957800,Alabama,Clarke County,5488,1,419,1745
01025957901,Alabama,Clarke County,3493,0,121,1781
01025957902,Alabama,Clarke County,4230,1,1639,1881
01025958001,Alabama,Clarke County,1289,0,3,723
01025958002,Alabama,Clarke County,1731,1,579,985
01027958900,Alabama,Clay County,5324,0,72,2019
01027959000,Alabama,Clay County,3224,0,0,1641
01027959100,Alabama,Clay County,2904,0,211,1203
01027959200,Alabama,Clay County,2480,0,131,930
01029959500,Alabama,Cleburne County,2684,0,123,1421
01029959600,Alabama,Cleburne County,4202,0,NULL,2024
01029959700,Alabama,Cleburne County,3419,0,38,1321
01029959800,Alabama,Cleburne County,4667,0,142,1390
01031010100,Alabama,Coffee County,2057,1,389,914
01031010200,Alabama,Coffee County,1841,0,342,565
01031010300,Alabama,Coffee County,4258,0,76,1137
01031010400,Alabama,Coffee County,2152,0,NULL,692
01031010500,Alabama,Coffee County,4558,0,NULL,2060
01031010600,Alabama,Coffee County,1561,0,NULL,698
01031010700,Alabama,Coffee County,2286,0,7,735
01031010800,Alabama,Coffee County,2840,0,NULL,570
01031010900,Alabama,Coffee County,2117,0,NULL,1002
01031011000,Alabama,Coffee County,3526,0,852,1169
01031011100,Alabama,Coffee County,2026,0,NULL,921
01031011201,Alabama,Coffee County,8036,0,740,1605
01031011202,Alabama,Coffee County,8530,0,1621,2523
01031011300,Alabama,Coffee County,4160,1,465,2474
01033020100,Alabama,Colbert County,3467,1,607,1604
01033020200,Alabama,Colbert County,1957,0,NULL,1067
01033020300,Alabama,Colbert County,2032,0,117,1267
01033020400,Alabama,Colbert County,1530,0,220,361
01033020500,Alabama,Colbert County,5221,0,853,2060
01033020600,Alabama,Colbert County,4128,1,486,1703
01033020701,Alabama,Colbert County,6103,0,1050,1151
01033020703,Alabama,Colbert County,5175,0,1129,1350
01033020704,Alabama,Colbert County,4321,0,36,1734
01033020801,Alabama,Colbert County,4487,0,NULL,1407
01033020802,Alabama,Colbert County,3766,0,234,1556
01033020901,Alabama,Colbert County,4327,0,NULL,1699
01033020902,Alabama,Colbert County,3972,0,10,1394
01033021000,Alabama,Colbert County,3942,0,64,1496
01035960200,Alabama,Conecuh County,1808,1,390,883
01035960300,Alabama,Conecuh County,1731,0,371,751
01035960400,Alabama,Conecuh County,3251,1,559,2084
01035960500,Alabama,Conecuh County,1771,0,NULL,1003
01035960600,Alabama,Conecuh County,4667,1,439,2507
01037961000,Alabama,Coosa County,3956,0,0,1813
01037961100,Alabama,Coosa County,3927,0,236,1113
01037961200,Alabama,Coosa County,3656,1,654,1349
01039961600,Alabama,Covington County,4133,0,142,1201
01039961700,Alabama,Covington County,4032,1,570,1616
01039961800,Alabama,Covington County,3129,0,NULL,1193
01039961900,Alabama,Covington County,2127,0,NULL,622
01039962000,Alabama,Covington County,3917,0,NULL,1827
01039962100,Alabama,Covington County,2011,1,377,1120
01039962300,Alabama,Covington County,3279,0,18,1125
01039962400,Alabama,Covington County,3144,0,4,886
01039962500,Alabama,Covington County,1524,0,28,445
01039962600,Alabama,Covington County,1517,0,242,985
01039962700,Alabama,Covington County,1686,1,409,973
01039962800,Alabama,Covington County,1736,0,6,746
01039962900,Alabama,Covington County,1846,0,235,479
01039963000,Alabama,Covington County,3684,0,37,1441
01041963400,Alabama,Crenshaw County,1925,0,607,794
01041963500,Alabama,Crenshaw County,1903,1,844,911
01041963600,Alabama,Crenshaw County,3180,1,306,1373
01041963700,Alabama,Crenshaw County,3809,0,NULL,1488
01041963800,Alabama,Crenshaw County,1681,0,121,842
01041963900,Alabama,Crenshaw County,1408,0,NULL,568
01043964100,Alabama,Cullman County,5582,0,NULL,3416
01043964200,Alabama,Cullman County,7373,0,NULL,2771
01043964300,Alabama,Cullman County,5001,0,NULL,2049
01043964400,Alabama,Cullman County,4112,0,NULL,1799
01043964500,Alabama,Cullman County,4180,0,67,1717
01043964600,Alabama,Cullman County,4007,0,16,1229
